;previous_sentence;question
440;"
je peux pas c'est 
";non ? ah ben oui évidemment oui d'accord non mais c'est bien 
441;"
c'est difficile à préciser mais enfin oui 
non ? ah ben oui évidemment oui d'accord non mais c'est bien 
";alors quelle est qui c'- quelle est la personne qui le regarde qui la regarde le plus ? c'est 
442;"

euh

c'est votre fils cadet 
";alors Michel ? c'est ça oui 
443;"
alors Michel ? c'est ça oui 
oui c'est le fils cadet oui 
";le dictionnaire ? 
444;"
crois oui 
";et qu'est-ce que vous cherchiez ? vous vous rappelez ? 
445;"
et qu'est-ce que vous cherchiez ? vous vous rappelez ? 
";qu'est-ce que je cherchais ? 
446;"
ah bon vous 
";cherchez l'orthographe ? 
447;"

d'accord

euh par orthographe vous voulez dire simplement comment la forme 
";du mot pour l'écrire oui ? 
448;"

hm hm

euh

";dictionnaires ? vous aviez le le dictionnaire médical non ? 
449;"
vous n'avez que ces 
que ces que 
";ces Larousse et puis le ce mémento ? 
450;"
pas de 
d'accord 
";mais enfin vous faites ça aussi par l'observation ? 
451;"
petits 
";des revues ? des 
452;"
je chipe des recettes à la télévision 
";ah oui v- vous avez le temps ? c'est c'est c'est pas trop rapide ? 
453;"




";par exemple sur le je sais pas moi la prononciation l'art de parler ? vous savez 
454;"
oui vous vous avez des livres euh 
par exemple sur le je sais pas moi la prononciation l'art de parler ? vous savez 
";écrire des lettres vous n'avez pas de ces choses-là ? 
455;"
c'est un mémento qui 
";comprend euh ? oui
456;"
ah oui

y a même de de l'arithmétique de la 
";ah bon ? c'est c'est 
457;"
une grande encyclopédie 
";quoi ? y a tout dedans
458;"
oui 

";est-ce que vous faites des mots-croisés ? 
459;"

euh 

";qu'est-ce que vous pensez du du franglais ?
460;"

euh 

";vous savez ce que le franglais ?
461;"
vous savez euh les mots qu'on emploie les mots anglais qu'on 
";ah les mots anglais ? oh 
462;"
ah oui ah oui 
";donc il y a pas de problèmes ? 
463;"
hein ?
";vous trouvez qu'il y a des différences dans la façon de parler des gens des différents milieux ? 
464;"

oh oui 
";de grandes différences ? 
465;"
oui quand
très g-
";très grandes ou simplement de grandes différences ? 
466;"
dignité 
oui 
oh oui 
oui
";y aurait pas d'autres différences ? en dehors de la de la vulgarité il y aurait pas d'autres différences dans la façon de parler
467;"
française 
oui
";par exemple ? vous avez des 
468;"
par exemple ? vous avez des 
des exemples à me 
";qu'est-ce que je prendrais comme exemple ?
469;"
d'accord oui 

mais en général euh y a pas te- y a pas tellement de changements entre les gens parlent comme ils ont toujours 
";parlé ? oui oui
470;"
c'est ça oui 

";quelle est la personne qui pour vous parle le mieux ? 
471;"
connaissances euh 
oui 
";c'est nettement la personne qui parle le mieux parmi mes connaissances ? 
472;"
alors lui euh 
";une maison de couture ? 
473;"
oui
";alors il parle très bien ? 
474;"
euh 
d'accord 
";et euh parmi les gens que vous êtes amenée à entendre parler euh quelle est la profession qui vous paraît parler le mieux en France ?
475;"
et 

";est-ce est-ce qu'il y a en France un organisme officiel qui décide si un mot est du bon français ou pas du bon français ? 
476;"
est-ce est-ce qu'il y a en France un organisme officiel qui décide si un mot est du bon français ou pas du bon français ? 
";oh attendez comment ça s'appelle ? je sais on a on a j'ai un trou de mémoire là 
477;"
vous trouvez ça vous trouvez que 
";c'est bien ou ? 
478;"
oui

";vous croyez que c'est vrai ça ? 
479;"
oui ça dépend des milieux ça 
oui 
";ça t- ça tient qu'est-ce qu'on veut dire par par là qu'elle se dégrade ? 
480;"
oh ben ce laisser-aller vous savez ça tient euh à ces ces garçons vous savez un peu 

euh je comment je vous dirais moi euh 

";désinvoltes ? 
481;"
vous donner un nom à ce genre de garçons euh 

";vous regrettez que la langue française se dégrade ou bien que ça a pas beaucoup d'importance ? 
482;"
oh si moi je 
";oui beaucoup d'importance oui ? 
483;"

si 
";et qu'est-ce qu'on peut faire contre ça à votre avis ? 
484;"
orthographe 
ah bon
";à la télévision ? 
485;"
que ça se passait dans la rue cette émission-là et que 
ils mettaient une phrase sur un tableau et que ils interrogeaient une personne pour dire voyons euh euh vous présentez cette phrase comment et 
et selon ça comment peut qu'est-ce qu'on pourrait changer euh qu'est-ce qu'on 
";comment pourrait pourrait-on intervertir ces phrases ? 
486;"
comment pourrait pourrait-on intervertir ces phrases ? 
ah bon on fait ça oui ah oui ah ah
";vous aimez ça ? vous trouvez ça bien ? 
487;"
suffit de le il suffit de s'intéresser 
";c'est très important ? pour vous il est très important que les speakers à la radio s'expriment très bien parce que pour donner le bon exemple ? 
488;"
c'est ça oui
";est-ce que vous pensez qu'on on enseigne mieux l'orthographe à l'école aujourd'hui qu'avant ? euh ça vous ne savez peut-être 
489;"
ah oui 
oui
";et dans quelle matière vous est-ce que vous étiez le la plus forte à l'école ? 
490;"
oui
";autre chose ? 
491;"
d'accord 
oui 
";est-ce que vous avez quelque chose à écrire sur vous habituellement ? dans votre sac ou dans 
492;"
ah oui 
";toujours oui ? 
493;"
qu'est-ce que 
";vous avez ? 
494;"
oui 
oui

pour le cas d'un petit mot c'est même pas une carte de visite c'est une carte de c'est le format carte de visite mais il y a pas de nom 

";vous le mettez vous-même dessus ? 
495;"
c'est ça on peut mettre c'est ça oui je vois
hm hm
";et vous avez un stylo à encre aussi ? 
496;"
oui

oui 

hm hm

";quand est-ce que vous avez écrit la la dernière fois ? quelle est la dernière occasion euh ? 
497;"

";euh comment ? 
498;"
oui à peu près oui 
oui 
";et c'était pour quelle oc- ? pour quoi ?
499;"
alors 
pour 
";tout alors ? 
500;"
y compris les papiers 
";administratifs ? 
501;"
alors vous avez donc besoin d'écrire pour votre travail 
";n'est-ce pas ? 
502;"
alors vous avez donc besoin d'écrire pour votre travail 
";c'est essentiel ? 
503;"
d'accord

";est-ce que qu'est-ce que vous préféreriez faire ? vous déplacer lui écrire euh 
504;"
oui
mais si cette personne est un supérieur vous lui écririez 
";aussi automatiquement ? les amis n'importe qui 
505;"
oui
";est-ce qu'il est important d'avoir une belle écriture ? 
506;"

ben c'est quand même mieux c'est c'est ça présente mieux 
";oui c'est très important alors ? 
507;"
c'est vrai ça 

";et là aussi il est donc important d'avoir de l'orthographe ? 
508;"
je vous dirai que moi je fais peut-être quelques fautes du reste on me le dit mais enfin j'essaie de pas en faire 
";pourquoi est-ce que vous croyez que c'est important d'avoir d'avoir de l'orthographe ? 
509;"
c'est plus 
";important ?
510;"
malheureusement y en a encore 
";et alors entre de vous et de votre mari euh qui est-ce qui possède la la meilleure écriture ? c'est vous ? 
511;"
prétentieuse 
non non 
";et l'orthographe aussi c'est vous ? 
512;"
enfin 



";et qui est-ce qui parle le meilleur français ? vous ou votre mari ? 
513;"
tous les deux 
oui tous les deux 
";pareils et écrire aussi euh ? 
514;"
davantage l'habitude de cau- 
";parce que vous avez plus de contacts euh ? ah oui
515;"
oui
d'accord oui 
";et puis euh le qui est-ce qui écrit le le meilleur français ? c'est vous ou 
516;"
oui d'accord 
euh
";regarde ça va ? ça te convient ? Euh
517;"
regarde ça va ? ça te convient ? Euh
";combien de lettres est-ce que vous écrivez par mois ? 
518;"

euh je peux pas vous le dire 
";beaucoup ? enfin 
519;"
beaucoup ? enfin 
ça dépend euh 
";pour le travail par exemple ? 
520;"

";plusieurs par jour euh ? 
521;"
par jour une 
";ou davantage ? 
522;"
oui
";et en dehors du travail euh à vos parents à vos amis ou vos enfants ? 
523;"
oui 

";est-ce que vous conservez les lettres qu'on vous envoie ? 
524;"
assez longtemps oui
assez longtemps oui 
";mais vous vous les conservez toujours ? ou bien certaines 
525;"
oui je je les garde et puis je fais un tri après oui 
oui

";vous savez combien vous en possédez euh après a- après avoir fait le tri ? 
526;"
vous en gardez 
";beaucoup ? 
527;"
des fois 
";ah vous les relisez ? 
528;"
je r- les relie ah oui 
 je
";mais celles que vous possédez vous en avez combien ? je sais pas moi un tiroir euh 
529;"
oui
";qu'est-ce qui est le plus important ? c'est l'allure ou bien aller droit au but d'être très clair ou 
530;"
c'est ça
mais vous écrivez 
euh quand vous écrivez ces lettres vous les écrivez avec une 
une plume à encre 
";ou bien avec le stylo ? toujours toujours ce même stylo euh stylo bille
531;"
ou bien avec le stylo ? toujours toujours ce même stylo euh stylo bille
non avec ce ce oui oui j'ai pas pas 
d'accord d'accord
de plume à encre monsieur
";quel type de papier est-ce que vous utilisez ? papier 
532;"
et vous vous faites des lignes ou 
";c'- c'est du papier blanc avec des lignes ? 
533;"
et quand vous quand vous écrivez des mots euh d'excuses à l'école de vos enfants
quand ils étaient encore ici 
";à l'école euh ? 
534;"
et est-ce que vous faisiez très attention quand vous écriviez au directeur de l'école 
";par exemple ? 
535;"
vous faisiez un brouillon 
";enfin ? oui
536;"
oui quand même 
";je veux dire comme pour le reste vous faisiez très très attention ? 
537;"
et alors c'est pareil pour un supérieur dans votre travail un 
";directeur de couture ? 
538;"
même chose oui

";vous n'avez jamais employé du papier à carreaux par exemple ? 
539;"
alors papier à carreaux pour les choses 
";courantes ? oui oui 
540;"
courantes ? oui oui 
pour les choses courantes oui 
";qu'est-ce que vous entendez par les choses courantes ? 
541;"
c'est ça oui hm

bon d'accord 

";est-ce qu'il y a des choses qui vous agacent dans la façon de parler de votre mari ?
542;"




";oui que moi je suis beaucoup plus comment dirais-je ?
543;"
autrement dit il y a peu de choses qui
y a pas de choses chez vous qui qui l'agaceraient lui alors
dans 
";votre façon de parler ? non 
544;"
si j'ai une observation à faire 
jamais du reste une fois euh on se trouvait euh à Angers à 

à un enterrement du reste 
et alors euh mon mari avec son petit caractère explosif euh 

sous prétx- euh sous euh su- au au sujet d'une conversation a a explosé 
alors j'avais une tante qui était là

et qui voulait absolument que je lui dise quelque chose 

elle m'a attrapée même elle m'a secouée elle m'a dit tu vas le 
je dis si j'ai quelque chose à lui dire je lui dirai lorsque nous serons tous les deux 
";et est-ce que lui vous reprend ? 
545;"
hm hm

et euh 

";qui vous agacent dans leur façon de parler ? enfin que vous vous les reprenez euh 
546;"
il se laisse 
";aller lui ? 
547;"
fois il se laisse aller un peu alors je alors je dis allons voyons Yves alors euh 

oh c'est pas méchant vous a- vous savez des fois 
";c'est ce serait plutôt un gros mot ou ? 
548;"
oh oui
oui
";et tous les deux ? vous votre mari aussi bien que vous ? vous les repreniez tous les deux 
549;"
le dragon 
";est-ce qu'il y avait des mots que vous interdisiez de prononcer à vos enfants ? 
550;"
euh les mots 
";grossiers euh ? 
551;"
oui oh oui oh oui oh oui 
";vous les punissiez s'ils les prononçaient ? 
552;"
oui 
c'est-à-dire 
";que vous les grondiez quoi ? 
553;"
et vos parents à vous est-ce qu'ils faisaient attention à la façon dont vous 
";parliez euh ? 
554;"
oh oui là oui
";tous les deux ? le 
555;"
tous les deux ? le 
";père et la mère oui ? 
556;"
euh oui

";et ils prenaient des sanctions quelquefois euh ? 
557;"
et votre instituteur lui aussi faisait très attention à la 
";façon dont vous parliez ? 
558;"
bon
je vais vous poser une dernière question euh avant de vous demander de quelques petits renseignements euh très très brefs euh 

euh 

comment est-ce qu'on fait une omelette d'après vous 

comment est-ce qu'on fait une 
";omelette dites moi ? 
559;"
et du côté 
";de votre de votre mari ? ah oui
560;"
oui
";et du côté de votre mari euh vous ne savez pas ? 
561;"

d'accord

oui
mais lui il en avait eu il est allé à l'école 
";jusqu'au Certificat d'Etudes alors ? 
562;"
oui oui 
";jusqu'à quel âge ? 
563;"
seize ans 
d'accord
";et que que fait votre mari alors ? 
564;"
il a quel âge s'il vous plaît euh
";votre mari ? 
565;"
ah oui

";alors vous avez deux enfants ? 
566;"
deux enfants oui 
";en fait l'un est en- est encore à l'école ? 
567;"
en fait l'un est en- est encore à l'école ? 
";en quelque sorte enfin est encore étudiant encore ? est encore étudiant oui ? 
568;"
un marié et un petit fils 

";alors l'autre ? 
569;"
ah bon ? 



";euh fils aîné alors il a quel âge ? 
570;"
de choses co- 
ah oui 
et de dessin industriel 
bien sûr 
";en en technique alors ? 
571;"
oui 
";euh jusqu'à quel âge quinze seize ? 
572;"
et maintenant il est euh 
";dessinateur vous m'avez dit ? 
573;"
oui 
d'accord 
";et alors Michel euh votre second ? 
574;"
alors 
";il a quel âge ? 
575;"
il a il vient de prendre vingt-deux ans 
";oui c'est jeune hein ? 
576;"
oui et peut-être futur Docteur ès Sciences 
";et alors il a fait des études donc euh privées ? 
577;"
élevé vos enfants entièrement par vous-même

oui 

";alors votre je pense que Michel a dû faire du latin lui ? 
578;"
ans oui 
oui
";c'est-à-dire euh dans le primaire privé n'est-ce pas ? 
579;"
ma foi j'en ai d'autres 

privé

vous étiez dans quelle école primaire euh ici 
";à Orléans ? 
580;"
Notre Dame de Consolation là au Aydes oui 

";vous avez eu un cer- oh Certificat d'Etudes ? 
581;"
les 

vous étiez externe
";ou interne ? 
582;"
je suis rentrée en apprentissage 
";privé aussi quoi ? 
583;"
d'accord 

bien

";euh vous écoutez la radio ? 
584;"
euh oui 
";beaucoup ? euh 
585;"
radio et 
";télévision ? 
586;"
et oui enfin av- 
";avant que avant que avant l- l'accident ? 
587;"
oui
";et combien d'heures par semaine ? 
588;"
on y parle d'un tas de choses 
";quelles sont vos quelle est votre chaîne préférée alors euh ? 
589;"
hm
";comment ça s'appelle ? une émission où y a une chose sportive qui est très très intéressante on pose un tas de questions qui sont
590;"
alors la radio vous l'écoutez beaucoup moins 
";finalement ? 
591;"
oui
";vous allez au cinéma ? 
592;"


";pas le temps ?
593;"

oh ben c'est parce que nous n'avons pas le temps 
";non vous n'aimez pas ? 
594;"
ah oh la ra- la télévision oui quand même oui oui 
";la radio aussi ? 
595;"
très bien
oui
";qu'est-ce que vous faites comme films ? 
596;"
un 
vous prenez 
";des photos ? 
597;"
oui je prends des des photographies 
";quel genre ? 
598;"

et bien c'est un un instamatic Kodak 
";euh quel genre de de photos est-ce que vous faites ? des photos de personnes de groupes 
599;"
oui 

euh quel genre de de photos est-ce que vous faites ? des photos de personnes de groupes 
";paysages paysages ou ? 
600;"
paysages oui
selon ça se présente oui
";mais aussi des groupes ? des groupes alors de 
601;"
mais aussi des groupes ? des groupes alors de 
";personnes ? 
602;"
on fait des photos 
c'est ça
";combien de films vous faites par année ? 
603;"

";vous ne savez pas ?
604;"

c'est assez réduit 
";plusieurs rouleaux ? non ? 
605;"
oh non c'est assez réduit 
";un rouleau ? non ? 
606;"
trier ça comme des lentilles 

";enfin vous vous regardez des de la peinture ? vous écoutez de la musique 
607;"
que ah ça 

";mais vous en vous l'écoutez alors ? 
608;"
oui 
j'aurais beaucoup aimé la 
";alors quels sont vos compositeurs préférés ? 
609;"
et puis euh 

y a un que j'aime beaucoup c'est oh

ah Chopin 
";vous avez un électrophone ?
610;"
oui 

vous avez un électrophone ?
";et des disques ? 
611;"

vous n'allez pas au concert 

pas le temps 

";au théâtre non plus ? 
612;"
oui la la Nouvelle 
";République ? la République du Centre oui
613;"
République ? la République du Centre oui
la la République du Centre oui 
";d'autres journaux aussi ? 
614;"
comme ça 

";y a pas d'autre journal que vous lisez ? 
615;"

non 
";combien de livres ? vous lisez beaucoup de livres euh ? 
616;"
lire beaucoup
";est-ce qui vous lisez quel est votre genre préféré ? 
617;"
euh oui
oui oui
";vous possédez combien de livres euh à la maison en dehors des dictionnaires ? 
618;"
à part les 
";dictionnaires ? 
619;"

";et éventuellement lequel s'il y en a un ?
620;"
oui

";et où est-ce que vous vous classeriez politiquement ? à droite à gauche au centre ? 
621;"
ni de l'autre 
oui oui 
";alors modéré quoi ? 
622;"
alors nous allons terminer là 
";euh pour nous mettre en train c'est depuis combien de temps habitez-vous Orléans ?
623;"
et toute ma famille est orléanaise

";ah oui et votre père aussi est orléanais ?
624;"
maman est née à Orléans 
si bien qu'on est vraiment de vieux Orléanais 
";oui et vous vous plaisez à euh à Orléans ? 
625;"
oui moi je m'y plais bien vous savez
";oui et vous comptez y rester ? 
626;"
oui
";vous avez pas rencontré beaucoup là-bas ? 
627;"
vous avez pas rencontré beaucoup là-bas ? 
";et euh est-ce que vous travaillez madame ?
628;"
non je travaille pas

je m'occupe de mes enfants j'ai cinq enfants et je ne travaille pas
";oui est-ce que vous travailliez avant votre mariage ?
629;"
alors je je suis souvent assez prise l'après-midi euh 
par des réunions ou 
";oui quelle sorte d'organisations ?
630;"
et qui est si vous voulez pour euh 
permettre aux femmes euh de faire euh de prendre leur place dans la vie euh dans la vie civique et dans la vie 
sociale alors euh par un moyen de formation 
on est un peu à ce stade-là à Orléans
et pour euh amener les femmes à réfléchir à ces problèmes-là

";ah oui et qu'est-ce qui compte le plus pour vous dans ce travail ?
631;"
euh moi au départ c'était un travail de formation parce que je me rendais compte que la femme a une place à prendre dans la vie civique et sociale et au fond euh on n'est pas du tout préparé 
euh ni par les études euh si vous voulez jusqu'à un niveau de baccalauréat des études ordinaires on n'est pas du tout préparé à prendre notre place

";ah oui et comment est-ce que vous faites pour vous préparer alors ? 
632;"
ah oui ?
";et est-ce que des personnes comme par exemple Evelyne Sullerot viennent vous parler ?
633;"
ah oui ?
";vous avez peut-être entendu parler ?
634;"
des choses très intéressantes
est-ce que euh 
";des femmes mariées qui travaillent ?
635;"
oui

";eh bien euh votre temps libre maintenant qu'est-ce que vous en faites ? 
636;"
ah oui ?
ou je lis 
";oui vous faites des les vêtements ?
637;"
non

non très bien
";comment est-ce que vous avez passé dimanche dernier ?
638;"
 puis on s'est couché vers onze heures onze heures et demie

";qu'est- ce que vous ferez ? 
639;"
sitôt la
la fin des classes 

terminée 

";si vous aviez deux heures de temps libre supplémentaires par jour qu'est-ce que vous feriez de ce temps libre ?
640;"
ah oui

oui
on reviendra peut-être là-dessus plus tard

";euh mais maintenant euh parlons des enfants un petit peu à votre avis qu'est-ce qu'on devrait apprendre surtout aux enfants à l'école ?
641;"
euh mais maintenant euh parlons des enfants un petit peu à votre avis qu'est-ce qu'on devrait apprendre surtout aux enfants à l'école ?

";ben je pense qu'on devrait leur apprendre euh enfin évidemment les enfants oui à quel âge vous pensez ?
642;"
euh mais maintenant euh parlons des enfants un petit peu à votre avis qu'est-ce qu'on devrait apprendre surtout aux enfants à l'école ?

";euh la lecture et tout à ce point de vue là vous voulez dire non ? 
643;"
oui

oui

";dans quelles matières est-ce que vous aimeriez que vos enfants soient forts surtout ?
644;"
et puis les filles euh 

ma foi en langues peut-être j'aimerais assez

il me semble qu'une fille avec euh

se débrouillant en langues euh

";alors pourquoi pour les garçons les maths et pour les filles les langues ?
645;"
et davantage un garçon il me semble

avec euh s'il était littéraire aurait beaucoup plus de mal à part s'il veut être avocat ou professeur à trouver une situation euh à l'époque actuelle 
alors que s'il était bon en mathématiques il puisse être je sais pas moi ingénieur euh programmateur enfin
il me semble que c'est plus valable pour un garçon 

";ah oui et pour les filles les langues ? 
646;"
hm hm
d'apprendre à parler 
";d'apprendre à parler d'autres langues ? 
647;"
oui 
";les filles ? 
648;"
oui

";à l'école ?
649;"
ah oui ?
parce que je pense que
";formation de l'esprit dans quel sens ?
650;"
oui il semble oui il semble
oh oui je pense oui j'ai l'impression
";et vous regrettez ? 
651;"
hm hm

";jusqu'à quel âge est-ce que vous pensez que les enfants devraient pousser leurs études ?
652;"
quoique beaucoup de personnes regrettent qu'il y ait plus de d'apprentis maintenant dans les métiers et qui se font de bonne heure mais enfin ça c'est peut-être un autre problème

mais

je pense qu'un jeune qui veut vraiment faire des études et qui en a les moyens si vous voulez si on les pousse et qu'ils redoublent des classes sans arrêt 
à mon avis c'est un peu 
c'est perdre son temps peut-être
";de faire des études ? 
653;"
hm hm

oui oui et 

l'âge maximum 

de faire des études ? 

";de faire des études supérieures vous voulez dire ? 
654;"
en suivant des séminaires ou des cours de recyclage comme il existe parce que je crois que maintenant ça doit être indispensable 

";c'est la même chose pour les garçons et les filles pensez-vous ?
655;"
oui

bien sûr

";est-ce que vous pensez qu'on fait assez pour les habitants ?
656;"
il a fallu reconstruire 

où qu'il y a maintenant La Source qui est en train de de se monter et que ça demande certainement des 

des gros ça fait des gros frais pour la ville mais enfin euh

";alors on pourrait faire davantage pour les jeunes ?
657;"
hm hm


oui

";qui sont les personnes ou enfin qui sont les gens qui ont de l'influence dans la ville ?
658;"

enfin ça ça se retrouve au plan national aussi si vous êtes une une industrie assez importante 

enfin c'est pas la personne elle-même si vous voulez que le nombre de personnes qu'elle représente
";de ces gros industriels ?
659;"
hm

";qu'est-ce que vous pourriez me dire ?
660;"
et nous qui n'étions pas en France 

à ce temps-là nous voudrions savoir 

euh qu'est-ce qui s'est passé
qu'est-ce que vous pourriez me dire ?
";euh ce qui s'est passé à Paris ce qui s'est passé sur Orléans euh ?
661;"
et Pompidou n'était pas là euh

";qui a qui a tourné la situation ?
662;"
ah moi j'y crois oui c'est la personnalité de de Gaulle qui a retourné la situation

";comment est-ce que vous expliquez les évènements ?
663;"
euh jeunes adultes ici les écoles ont été fermées pendant six semaines moi les miens qui sont dans des écoles privées
euh n'avaient donc pas 
faisaient grève si on voulait si on voulait pas ça devenait une espèce de climat
euh d'énervement
euh les professeurs certains voulant expliquer aux enfants pourquoi

alors quand on est en seconde qu'on a donc seize ans moi je veux bien qu'on discute un peu qu'on explique quelque chose mais des enfants qui sont plus jeunes euh moi je trouve que là c'était un peu 

prématuré et ridicule si bien que ma fille celle que vous avez vue tout à l'heure là m'a dit euh moi je commence à en avoir assez à un moment d'entendre vous savez euh les discussions est-ce qu'on doit faire la grève alors on y allait si on voulait on ne pouvait pas les 
les enfants qui n'allaient pas en classe on ne pouvait rien leur dire
bien que l'enseignement privé faisait grève ou pas comme il voulait

alors comme il y avait des pères qui étaient syndicalistes et qui étaient grévistes 
il y a des parents qui ont dit nous on fait la grève nos enfants n'iront pas en classe non plus
alors dans la classe d'une de mes filles il en a manqué une enfant pendant un mois

alors que officiellement leur école euh
ne faisait pas grève mais ne pouvait pas empêcher les élèves ou les professeurs de faire grève
";très marqué sur vos enfants ?
664;"
oui

";à Orléans ?
665;"
le même genre de vie mais enfin dans le milieu qu'on appelle indépendant si vous voulez qui est un monde assez étendu je trouve que les différences sociales se font moins sentir

";et comment est-ce que cela se fait ?
666;"
 va s'égaliser
";à quoi est-ce qu'on reconnaît une enfin un membre de la haute bourgeoisie ?
667;"
on ne se reçoit qu'entre personnes un peu du même milieu voyez
";et pourquoi cette différence entre l'aristocratie et la haute bourgeoisie ?
668;"
hm
";un dictionnaire ou des dictionnaires ?
669;"
oh oui il y en a plusieurs 
";plusieurs vous vous voudriez me les nommer ? 
670;"
euh il y a des Larousse

en trois volumes ça c'est les gros Larousse
";gros Larousse en trois volumes ? 
671;"
de synonymes

hm qu'est-ce qu'il y a d'autre ... puis c'est tout comme dictionnaire
";où est-ce que vous les gardez ?
672;"
euh il y en a trois qui sont là les gros Larousse sont à l'entrée là
";à l'entrée et puis les autres ?
673;"
dans leur enfin les enfants c'est dans leur secrétaire et moi j'en ai un autre dans la bibliothèque là ce qui me sert de bibliothèque

devant l'entrée on a une étagère de livres là c'est pour ça

";depuis quand les avez-vous ces dictionnaires ?
674;"

les trois volumes ont paru il y a

je sais plus deux trois ans depuis leur parution il y a pas très longtemps

";vous les avez achetés ?
675;"
je suis en train de penser à ça
";là et vous l'aviez acheté à Orléans ?
676;"
dans un magasin une librairie
";librairie à Orléans qui s'en sert le plus souvent ? 
677;"
euh des dictionnaires mon mari

et mon plus jeune fils

celui qui a dix ans

";ça c'est intéressant et vous-même combien de fois par mois ?
678;"
ça c'est intéressant et vous-même combien de fois par mois ?

";vous m'avez posé une question ?
679;"
oh écoutez je m'en sers quatre fois par mois à peu près
";euh n'importe quel dictionnaire ?
680;"
en faisant des mots-croisés

";ah oui j'ai une question aussi sur les mots-croisés à venir quel genre de choses de choses y cherchez-vous le plus souvent ?
681;"
euh des définitions assez précises

ou des situations de villes

ou alors une question d'histoire

";euh et vous avez le Larousse ménager ?
682;"
oui
";et vous avez d'autres dictionnaires du même genre euh médical gastronomique ?
683;"
ah non médical non
";est-ce que vous avez un livre sur l'art de parler ? 
684;"
ah non médical non
";prononciation ?
685;"
oh non
";l'art d'écrire ?
686;"
si ça se trouve mon mari les a j'en sais rien du tout
";les difficultés de la langue française ?
687;"
oh

";un guide de politesse ou de savoir-faire ?
688;"
non je n'ai pas 
";euh pourquoi ?
689;"
je sais pas j'en ai pas 
";oui vous faites des mots-croisés ?
690;"
tout simplement

";combien de fois par mois par jour par euh semaine ?
691;"
oui vous les aimez
";les mots-croisés ? 
692;"
oui oui hm 
les mots-croisés ? 
";oui pourquoi ? 
693;"

";à l'école ?
694;"
qu'on est en train de perdre

";que pensez-vous du franglais ?
695;"
oui 
que pensez-vous du franglais ?

";de ces mots français anglais la moitié ?
696;"
de ces mots français anglais la moitié ?

oh je trouve que c'est pas tellement tellement bon j'aime pas tellement

";vous êtes plutôt contre ?
697;"
oui
";oui et pourquoi ? 
698;"
oh je trouve autant garder carrément les mots d'une langue que de franciser ou d'anglicaniser je sais plus comment on dit

des

";y a-t-il des différences selon vous dans la façon de parler français entre les gens appartenant à des différents milieux sociaux ?
699;"
si vous voulez moins

";distinguer ?
700;"
y a-t-il d'autres différences que vous pourriez

distinguer ?

";dans la façon de parler ?
701;"
oui

";de tona- de tonalité peut-être d'élocution voyez ?
702;"
et puis une question de d'accent de enfin non seulement de 

de forme de phrase
mais également de 

de tona- de tonalité peut-être d'élocution voyez ?

";oui comment est-ce que vous vous expliquez ?
703;"
je crois que ça vient de la petite enfance pendant les enfants ont été éduqués chez eux à parler

";euh selon vous en général est-ce que les gens parlent de mieux en mieux de plus en plus mal ou sans changement ?
704;"
parmi vos connaissances quelle est la personne qui parle le mieux le français

et le par la profession simplement il me faut
";une profession la profession ?
705;"

euh 

je ne sais pas du tout 

que je réfléchisse à ça

peut-être un avocat
";oui et il y a des gens que vous ne connaissez pas et que vous entendez parler parmi ceux-ci euh qui est-ce qui parle le meilleur français ? 
706;"
avocat

oui et il y a des gens que vous ne connaissez pas et que vous entendez parler parmi ceux-ci euh qui est-ce qui parle le meilleur français ? 
";que je ne connais pas et que j'entends parler ?
707;"
oui

";alors que j'entends parler où par exemple à la radio à la télévision non ?
708;"
oui
";qu'est-ce qu'ils font un historien ?
709;"
celui que j'entends oui

";c'est un historien qui qui euh fait des programmes à la radio ?
710;"
oui

";y a-t-il en France un organisme qui décide si un mot ou une expression fait partie ou non du bon français ?
711;"
bien c'est l'Académie

";et est-ce très utile ou utile ou sans utilité ?
712;"
utile

";oui pourquoi ? 
713;"
hm hm

";qu'est-ce que vous en pensez ?
714;"
euh on dit quelquefois que la langue française se dégrade

qu'est-ce que vous en pensez ?

";dans le langage parlé et courant des gens elle se dégrade ?
715;"
il y a peut-être du vrai

hum il doit y avoir du vrai là oui
";et cela tient à quoi ?
716;"
enfin certains parce que je veux pas dire tout je veux pas dire ça sur les 

m'enfin certaines euh les personnes qui écoutent ça toute la journée euh c'est pas là qu'elles apprendront à

à parler

"; cette dégradation ou est-ce que vous pensez que ça n'a pas d'importance ? 
717;"
oh moi je regrette 

";et qu'est-ce qu'on peut peut faire contre cela à votre avis ?
718;"
qu'ils lisent à longueur de journée et qui sont vraiment euh

des onomatopées des au point de vue orthographe c'est lamentable
";parler en bon français ? 
719;"
ah oui je crois

";oui les professeurs ?
720;"
oui je crois qu'il faudrait les obliger à
";pourrait faire cela ?
721;"
faudrait qu'ils refassent des 
 des études avec un professeur particulier enfin des des cours de diction de 

de je sais pas de présentation enfin je sais pas 

";ah est-ce que aujourd'hui à votre avis l'orthographe est aussi bien enseignée ou mieux enseignée ou moins bien enseignée que du temps où vous étiez vous-même à l'école ?
722;"
mais 

quand je vois par rapport aux miens je pense que ça dépend tellement euh des professeurs eux-mêmes comme ils l'enseignent si vous voulez

";ou mieux enseignée ?
723;"

oh

je crois que c'est pareil
";oui dans quelle matière est-ce ? 
724;"
alors ça surprend 


";dans quelles matières est-ce que vous étiez le plus fort à l'école ?
